INCIDENT_ID,DATA_YEAR,OFFENSE_TYPES,SUM_OFFENSE_RECORDS
79534,2007,Negligent Manslaughter,0
79535,2007,Not Specified,22
79536,2007,Pocket-picking,4
79537,2007,Pornography/Obscene Material,1
79538,2007,Prostitution,0
79539,2007,Purchasing Prostitution,0
79540,2007,Purse-snatching,2
79541,2007,Rape,1
79542,2007,Robbery,175
79543,2007,Sexual Assault With An Object,1
79544,2007,Shoplifting,19
79545,2007,Simple Assault,1422
79546,2007,Sodomy,7
79547,2007,Statutory Rape,0
79548,2007,Stolen Property Offenses,3
79549,2007,Theft From Building,25
79550,2007,Theft From Coin-Operated Machine or Device,0
79551,2007,Theft From Motor Vehicle,32
79552,2007,Theft of Motor Vehicle Parts or Accessories,10
79553,2007,Weapon Law Violations,15
79554,2007,Welfare Fraud,0
79555,2007,Wire Fraud,1
79556,2008,Aggravated Assault,797
79557,2008,All Other Larceny,108
79558,2008,Animal Cruelty,0
79559,2008,Arson,54
79560,2008,Assisting or Promoting Prostitution,0
79561,2008,Betting/Wagering,0
79562,2008,Bribery,0
79563,2008,Burglary/Breaking & Entering,162
79564,2008,Counterfeiting/Forgery,7
79565,2008,Credit Card/Automated Teller Machine Fraud,4
79566,2008,Destruction/Damage/Vandalism of Property,3046
79567,2008,Drug Equipment Violations,5
79568,2008,Drug/Narcotic Violations,7
79569,2008,Embezzlement,0
79570,2008,Extortion/Blackmail,2
79571,2008,False Pretenses/Swindle/Confidence Game,11
79572,2008,Fondling,3
79573,2008,Hacking/Computer Invasion,0
79574,2008,"Human Trafficking, Commercial Sex Acts",0
79575,2008,Identity Theft,0
79576,2008,Impersonation,4
79577,2008,Incest,0
79578,2008,Intimidation,2237
79579,2008,Kidnapping/Abduction,8
79580,2008,Motor Vehicle Theft,30
79581,2008,Murder and Nonnegligent Manslaughter,8
79582,2008,Negligent Manslaughter,0
79583,2008,Not Specified,40
79584,2008,Pocket-picking,1
79585,2008,Pornography/Obscene Material,0
79586,2008,Prostitution,0
79587,2008,Purchasing Prostitution,0
79588,2008,Purse-snatching,3
79589,2008,Rape,11
79590,2008,Robbery,149
79591,2008,Sexual Assault With An Object,4
79592,2008,Shoplifting,25
79593,2008,Simple Assault,1566
79594,2008,Sodomy,2
79595,2008,Statutory Rape,0
79596,2008,Stolen Property Offenses,8
79597,2008,Theft From Building,28
79598,2008,Theft From Coin-Operated Machine or Device,0
79599,2008,Theft From Motor Vehicle,27
79600,2008,Theft of Motor Vehicle Parts or Accessories,9
79601,2008,Weapon Law Violations,16
79602,2008,Welfare Fraud,0
79603,2008,Wire Fraud,0
79604,2009,Aggravated Assault,696
79605,2009,All Other Larceny,79
79606,2009,Animal Cruelty,0
79607,2009,Arson,41
79608,2009,Assisting or Promoting Prostitution,0
79609,2009,Betting/Wagering,0
79610,2009,Bribery,0
79611,2009,Burglary/Breaking & Entering,133
79612,2009,Counterfeiting/Forgery,9
79613,2009,Credit Card/Automated Teller Machine Fraud,4
79614,2009,Destruction/Damage/Vandalism of Property,2467
79615,2009,Drug Equipment Violations,3
79616,2009,Drug/Narcotic Violations,12
79617,2009,Embezzlement,1
79618,2009,Extortion/Blackmail,2
79619,2009,False Pretenses/Swindle/Confidence Game,6
79620,2009,Fondling,4
79621,2009,Hacking/Computer Invasion,0
79622,2009,"Human Trafficking, Commercial Sex Acts",0
79623,2009,Identity Theft,0
79624,2009,Impersonation,4
79625,2009,Incest,1
79626,2009,Intimidation,1705
79627,2009,Kidnapping/Abduction,3
79628,2009,Motor Vehicle Theft,11
79629,2009,Murder and Nonnegligent Manslaughter,8
79630,2009,Negligent Manslaughter,0
79631,2009,Not Specified,20
79632,2009,Pocket-picking,0
79633,2009,Pornography/Obscene Material,2
79634,2009,Prostitution,0
79635,2009,Purchasing Prostitution,0
79636,2009,Purse-snatching,0
79637,2009,Rape,10
79638,2009,Robbery,122
79639,2009,Sexual Assault With An Object,1
79640,2009,Shoplifting,24
79641,2009,Simple Assault,1461
79642,2009,Sodomy,1
79643,2009,Statutory Rape,1
79644,2009,Stolen Property Offenses,3
79645,2009,Theft From Building,13
79646,2009,Theft From Coin-Operated Machine or Device,0
79647,2009,Theft From Motor Vehicle,16
79648,2009,Theft of Motor Vehicle Parts or Accessories,4
79649,2009,Weapon Law Violations,9
79650,2009,Welfare Fraud,0
79651,2009,Wire Fraud,0
79652,2010,Aggravated Assault,695
79653,2010,All Other Larceny,65
79654,2010,Animal Cruelty,0
79655,2010,Arson,43
79656,2010,Assisting or Promoting Prostitution,0
79657,2010,Betting/Wagering,0
79658,2010,Bribery,0
79659,2010,Burglary/Breaking & Entering,125
79660,2010,Counterfeiting/Forgery,7
79661,2010,Credit Card/Automated Teller Machine Fraud,4
79662,2010,Destruction/Damage/Vandalism of Property,2322
79663,2010,Drug Equipment Violations,1
79664,2010,Drug/Narcotic Violations,5
79665,2010,Embezzlement,1
79666,2010,Extortion/Blackmail,0
79667,2010,False Pretenses/Swindle/Confidence Game,12
79668,2010,Fondling,5
79669,2010,Hacking/Computer Invasion,0
79670,2010,"Human Trafficking, Commercial Sex Acts",0
79671,2010,Identity Theft,0
79672,2010,Impersonation,6
79673,2010,Incest,0
79674,2010,Intimidation,1791
79675,2010,Kidnapping/Abduction,5
79676,2010,Motor Vehicle Theft,16
79677,2010,Murder and Nonnegligent Manslaughter,6
79678,2010,Negligent Manslaughter,0
79679,2010,Not Specified,33
79680,2010,Pocket-picking,0
79681,2010,Pornography/Obscene Material,1
79682,2010,Prostitution,0
79683,2010,Purchasing Prostitution,0
79684,2010,Purse-snatching,0
79685,2010,Rape,4
79686,2010,Robbery,147
79687,2010,Sexual Assault With An Object,0
79688,2010,Shoplifting,24
79689,2010,Simple Assault,1474
79690,2010,Sodomy,1
79691,2010,Statutory Rape,0
79692,2010,Stolen Property Offenses,3
79693,2010,Theft From Building,14
79694,2010,Theft From Coin-Operated Machine or Device,1
79695,2010,Theft From Motor Vehicle,31
79696,2010,Theft of Motor Vehicle Parts or Accessories,7
79697,2010,Weapon Law Violations,7
79698,2010,Welfare Fraud,0
79699,2010,Wire Fraud,2
79700,2011,Aggravated Assault,682
79701,2011,All Other Larceny,71
79702,2011,Animal Cruelty,0
79703,2011,Arson,43
79704,2011,Assisting or Promoting Prostitution,0
79705,2011,Betting/Wagering,0
79706,2011,Bribery,0
79707,2011,Burglary/Breaking & Entering,132
79708,2011,Counterfeiting/Forgery,9
79709,2011,Credit Card/Automated Teller Machine Fraud,6
79710,2011,Destruction/Damage/Vandalism of Property,2143
79711,2011,Drug Equipment Violations,3
79712,2011,Drug/Narcotic Violations,13
79713,2011,Embezzlement,3
79714,2011,Extortion/Blackmail,1
79715,2011,False Pretenses/Swindle/Confidence Game,8
79716,2011,Fondling,4
79717,2011,Hacking/Computer Invasion,0
79718,2011,"Human Trafficking, Commercial Sex Acts",0
79719,2011,Identity Theft,0
79720,2011,Impersonation,3
79721,2011,Incest,0
79722,2011,Intimidation,1731
79723,2011,Kidnapping/Abduction,4
79724,2011,Motor Vehicle Theft,7
79725,2011,Murder and Nonnegligent Manslaughter,5
79726,2011,Negligent Manslaughter,0
79727,2011,Not Specified,26
79728,2011,Pocket-picking,3
79729,2011,Pornography/Obscene Material,0
79730,2011,Prostitution,0
79731,2011,Purchasing Prostitution,0
79732,2011,Purse-snatching,1
79733,2011,Rape,7
79734,2011,Robbery,131
79735,2011,Sexual Assault With An Object,1
79736,2011,Shoplifting,16
79737,2011,Simple Assault,1348
79738,2011,Sodomy,3
79739,2011,Statutory Rape,0
79740,2011,Stolen Property Offenses,5
79741,2011,Theft From Building,16
79742,2011,Theft From Coin-Operated Machine or Device,0
79743,2011,Theft From Motor Vehicle,25
79744,2011,Theft of Motor Vehicle Parts or Accessories,8
79745,2011,Weapon Law Violations,9
79746,2011,Welfare Fraud,0
79747,2011,Wire Fraud,0
79748,2012,Aggravated Assault,685
79749,2012,All Other Larceny,100
79750,2012,Animal Cruelty,0
79751,2012,Arson,41
79752,2012,Assisting or Promoting Prostitution,0
79753,2012,Betting/Wagering,0
79754,2012,Bribery,0
79755,2012,Burglary/Breaking & Entering,145
79756,2012,Counterfeiting/Forgery,9
79757,2012,Credit Card/Automated Teller Machine Fraud,10
79758,2012,Destruction/Damage/Vandalism of Property,2177
79759,2012,Drug Equipment Violations,27
79760,2012,Drug/Narcotic Violations,151
79761,2012,Embezzlement,6
79762,2012,Extortion/Blackmail,3
79763,2012,False Pretenses/Swindle/Confidence Game,12
79764,2012,Fondling,17
79765,2012,Hacking/Computer Invasion,0
79766,2012,"Human Trafficking, Commercial Sex Acts",0
79767,2012,Identity Theft,0
79768,2012,Impersonation,8
79769,2012,Incest,1
79770,2012,Intimidation,1605
79771,2012,Kidnapping/Abduction,6
79772,2012,Motor Vehicle Theft,21
79773,2012,Murder and Nonnegligent Manslaughter,5
79774,2012,Negligent Manslaughter,1
79775,2012,Not Specified,33
79776,2012,Pocket-picking,1
79777,2012,Pornography/Obscene Material,1
79778,2012,Prostitution,0
79779,2012,Purchasing Prostitution,0
79780,2012,Purse-snatching,0
79781,2012,Rape,16
79782,2012,Robbery,134
79783,2012,Sexual Assault With An Object,0
79784,2012,Shoplifting,34
79785,2012,Simple Assault,1438
79786,2012,Sodomy,2
79787,2012,Statutory Rape,1
79788,2012,Stolen Property Offenses,3
79789,2012,Theft From Building,30
79790,2012,Theft From Coin-Operated Machine or Device,3
79791,2012,Theft From Motor Vehicle,53
79792,2012,Theft of Motor Vehicle Parts or Accessories,7
79793,2012,Weapon Law Violations,15
79794,2012,Welfare Fraud,0
79795,2012,Wire Fraud,1
79796,2013,Aggravated Assault,612
79797,2013,All Other Larceny,84
79798,2013,Animal Cruelty,0
79799,2013,Arson,35
79800,2013,Assisting or Promoting Prostitution,2
79801,2013,Betting/Wagering,0
79802,2013,Bribery,0
79803,2013,Burglary/Breaking & Entering,169
79804,2013,Counterfeiting/Forgery,10
79805,2013,Credit Card/Automated Teller Machine Fraud,10
79806,2013,Destruction/Damage/Vandalism of Property,1826
79807,2013,Drug Equipment Violations,17
79808,2013,Drug/Narcotic Violations,35
79809,2013,Embezzlement,2
79810,2013,Extortion/Blackmail,6
79811,2013,False Pretenses/Swindle/Confidence Game,15
79812,2013,Fondling,16
79813,2013,Hacking/Computer Invasion,0
79814,2013,"Human Trafficking, Commercial Sex Acts",0
79815,2013,Identity Theft,0
79816,2013,Impersonation,10
79817,2013,Incest,1
79818,2013,Intimidation,1548
79819,2013,Kidnapping/Abduction,6
79820,2013,Motor Vehicle Theft,18
79821,2013,Murder and Nonnegligent Manslaughter,5
79822,2013,Negligent Manslaughter,0
79823,2013,Not Specified,30
79824,2013,Pocket-picking,2
79825,2013,Pornography/Obscene Material,1
79826,2013,Prostitution,1
79827,2013,Purchasing Prostitution,1
79828,2013,Purse-snatching,2
79829,2013,Rape,21
79830,2013,Robbery,126
79831,2013,Sexual Assault With An Object,1
79832,2013,Shoplifting,32
79833,2013,Simple Assault,1475
79834,2013,Sodomy,3
79835,2013,Statutory Rape,3
79836,2013,Stolen Property Offenses,4
79837,2013,Theft From Building,27
79838,2013,Theft From Coin-Operated Machine or Device,0
79839,2013,Theft From Motor Vehicle,42
79840,2013,Theft of Motor Vehicle Parts or Accessories,10
79841,2013,Weapon Law Violations,19
79842,2013,Welfare Fraud,0
79843,2013,Wire Fraud,2
79844,2014,Aggravated Assault,606
79845,2014,All Other Larceny,111
79846,2014,Animal Cruelty,0
79847,2014,Arson,28
79848,2014,Assisting or Promoting Prostitution,1
79849,2014,Betting/Wagering,0
79850,2014,Bribery,1
79851,2014,Burglary/Breaking & Entering,166
79852,2014,Counterfeiting/Forgery,9
79853,2014,Credit Card/Automated Teller Machine Fraud,7
79854,2014,Destruction/Damage/Vandalism of Property,1728
79855,2014,Drug Equipment Violations,13
79856,2014,Drug/Narcotic Violations,33
79857,2014,Embezzlement,3
